2014,2015,2016,dates
23.37,21.95,21.94,16/1/1
23.36,21.93,21.94,16/1/2
23.35,21.91,21.96,16/1/3
23.32,21.89,21.96,16/1/4
23.3,21.87,21.99,16/1/5
23.28,21.91,21.99,16/1/6
23.27,21.94,21.99,16/1/7
23.26,21.97,22.07,16/1/8
23.25,22,22.15,16/1/9
23.23,22.03,22.26,16/1/10
23.2,22.07,22.32,16/1/11
23.17,22.15,22.38,16/1/12
23.16,22.26,22.44,16/1/13
23.12,22.32,22.51,16/1/14
23.12,22.38,22.58,16/1/15
23.1,22.44,22.66,16/1/16
23.08,22.51,22.74,16/1/17
23.06,22.58,22.82,16/1/18
23.05,22.66,22.86,16/1/19
23.04,22.74,22.85,16/1/20
23.01,22.82,22.85,16/1/21
23,22.86,22.84,16/1/22
22.99,22.85,22.84,16/1/23
23,22.85,22.82,16/1/24
23.01,22.84,22.82,16/1/25
23.03,22.84,22.82,16/1/26
23.05,22.82,22.82,16/1/27
23.15,22.82,22.82,16/1/28
23.2,22.82,22.82,16/1/29
23.24,22.82,22.83,16/1/30
23.34,22.82,22.07,16/1/31
23.36,22.82,22.15,16/2/1
23.37,22.83,22.26,16/2/2
23.38,22.84,22.32,16/2/3
23.39,22.85,22.38,16/2/4
23.38,22.86,22.44,16/2/5
23.36,22.89,22.51,16/2/6
23.36,22.94,22.58,16/2/7
23.34,22.98,22.66,16/2/8
23.35,23.02,22.74,16/2/9
23.36,23.06,22.82,16/2/10
23.35,23.09,22.86,16/2/11
23.33,23.12,22.85,16/2/12
23.32,23.18,22.85,16/2/13
23.31,23.25,22.84,16/2/14
23.3,23.31,22.84,16/2/15
23.28,23.34,22.82,16/2/16
23.24,23.36,22.82,16/2/17
23.21,23.35,22.82,16/2/18
23.22,23.38,22.82,16/2/19
23.14,23.41,22.82,16/2/20
23.14,23.44,22.82,16/2/21
22.95,23.44,22.83,16/2/22
22.85,23.37,22.07,16/2/23
22.76,23.27,22.15,16/2/24
22.66,23.16,22.26,16/2/25
22.56,23.05,22.32,16/2/26
22.51,22.92,22.38,16/2/27
22.5,22.77,22.44,16/2/28
22.5,22.58,22.51,16/2/29
22.49,22.48,22.58,16/3/1
22.46,22.52,22.66,16/3/2
22.41,22.5,22.74,16/3/3
22.35,22.49,22.82,16/3/4
22.29,22.48,22.86,16/3/5
22.23,22.44,22.85,16/3/6
22.12,22.4,22.85,16/3/7
22.02,22.36,22.84,16/3/8
21.94,22.32,22.84,16/3/9
21.92,22.28,22.82,16/3/10
21.92,22.24,22.82,16/3/11
21.92,22.19,22.82,16/3/12
21.89,22.15,22.82,16/3/13
21.88,22.1,22.82,16/3/14
21.86,22.04,22.82,16/3/15
21.84,21.98,22.83,16/3/16
21.82,21.94,22.07,16/3/17
21.81,21.89,22.15,16/3/18
21.81,21.89,22.26,16/3/19
21.86,21.87,22.32,16/3/20
21.89,21.86,22.38,16/3/21
21.93,21.85,22.44,16/3/22
21.96,21.83,22.51,16/3/23
22.01,21.81,22.58,16/3/24
22.05,21.8,22.66,16/3/25
22.1,21.79,22.74,16/3/26
22.14,21.77,22.82,16/3/27
22.2,21.76,22.86,16/3/28
22.51,21.74,22.85,16/3/29
23.32,21.72,22.85,16/3/30
23.44,21.7,22.84,16/3/31
23.61,21.69,22.84,16/4/1
23.88,21.67,22.82,16/4/2
23.98,21.67,22.82,16/4/3
24.01,21.67,22.82,16/4/4
24.05,21.67,22.82,16/4/5
24.06,21.67,22.82,16/4/6
24.09,21.68,22.82,16/4/7
24.05,21.69,22.83,16/4/8
24.05,21.73,22.07,16/4/9
23.97,21.83,22.15,16/4/10
23.88,21.89,22.26,16/4/11
23.79,21.92,22.32,16/4/12
23.7,21.92,22.38,16/4/13
23.61,21.93,22.44,16/4/14
23.52,21.93,22.51,16/4/15
23.35,21.94,22.58,16/4/16
23.17,21.96,22.66,16/4/17
23.03,21.97,22.74,16/4/18
22.89,21.99,22.82,16/4/19
22.74,22.02,22.86,16/4/20
22.58,22.03,22.85,16/4/21
22.42,22.06,,16/4/22
22.26,22.08,,16/4/23
22.11,22.11,,16/4/24
22.01,22.13,,16/4/25
21.93,22.16,,16/4/26
21.86,22.18,,16/4/27
21.85,22.21,,16/4/28
21.88,22.24,,16/4/29
21.99,22.26,,16/4/30
22.09,22.29,,16/5/1
22.18,22.31,,16/5/2
22.27,22.33,,16/5/3
22.47,22.34,,16/5/4
22.54,22.32,,16/5/5
22.72,22.29,,16/5/6
23.27,22.25,,16/5/7
23.28,22.31,,16/5/8
23.41,22.28,,16/5/9
24.44,22.48,,16/5/10
24.66,22.51,,16/5/11
24.68,22.48,,16/5/12
24.6,22.44,,16/5/13
24.51,22.39,,16/5/14
24.41,22.39,,16/5/15
24.36,22.38,,16/5/16
24.3,22.36,,16/5/17
24.33,22.33,,16/5/18
24.85,22.3,,16/5/19
24.93,22.29,,16/5/20
24.93,22.25,,16/5/21
24.93,22.55,,16/5/22
24.86,22.55,,16/5/23
24.79,22.58,,16/5/24
24.7,22.57,,16/5/25
24.62,22.6,,16/5/26
24.53,22.57,,16/5/27
24.43,22.54,,16/5/28
24.35,22.51,,16/5/29
24.26,22.5,,16/5/30
24.17,22.49,,16/5/31
24.08,22.48,,16/6/1
24,22.45,,16/6/2
23.94,22.4,,16/6/3
23.86,22.35,,16/6/4
23.85,22.33,,16/6/5
23.79,22.28,,16/6/6
23.72,22.23,,16/6/7
23.65,22.17,,16/6/8
23.58,22.14,,16/6/9
23.49,22.09,,16/6/10
23.41,22.03,,16/6/11
23.43,22.1,,16/6/12
23.44,22.04,,16/6/13
23.44,21.98,,16/6/14
23.4,21.94,,16/6/15
23.29,21.92,,16/6/16
23.18,21.92,,16/6/17
23.06,21.92,,16/6/18
22.95,21.92,,16/6/19
22.85,21.93,,16/6/20
22.8,21.94,,16/6/21
22.69,22,,16/6/22
22.64,22.03,,16/6/23
22.56,22.09,,16/6/24
22.45,22.13,,16/6/25
22.35,22.09,,16/6/26
22.23,22.08,,16/6/27
22.1,22.12,,16/6/28
21.97,22.14,,16/6/29
21.86,22.15,,16/6/30
21.72,22.17,,16/7/1
21.58,22.17,,16/7/2
21.48,22.16,,16/7/3
21.44,22.16,,16/7/4
21.42,22.16,,16/7/5
21.43,22.14,,16/7/6
21.42,22.13,,16/7/7
21.4,22.13,,16/7/8
21.39,22.15,,16/7/9
21.4,22.17,,16/7/10
21.42,22.18,,16/7/11
21.43,22.19,,16/7/12
21.44,22.19,,16/7/13
21.47,22.21,,16/7/14
21.49,22.21,,16/7/15
21.51,22.27,,16/7/16
21.62,22.27,,16/7/17
21.67,22.29,,16/7/18
21.71,22.31,,16/7/19
21.75,22.47,,16/7/20
21.78,22.49,,16/7/21
21.81,22.6,,16/7/22
21.86,22.9,,16/7/23
21.94,23,,16/7/24
21.96,23.12,,16/7/25
21.99,23.23,,16/7/26
22,23.27,,16/7/27
22.01,23.3,,16/7/28
22.02,23.3,,16/7/29
22.02,23.3,,16/7/30
22.02,23.3,,16/7/31
22.05,23.3,,16/8/1
22.08,23.3,,16/8/2
22.2,23.28,,16/8/3
22.22,23.24,,16/8/4
22.35,23.19,,16/8/5
22.38,23.08,,16/8/6
22.38,23.09,,16/8/7
22.39,23.05,,16/8/8
22.39,23.01,,16/8/9
22.39,22.97,,16/8/10
22.38,22.92,,16/8/11
22.61,22.91,,16/8/12
22.66,22.86,,16/8/13
22.67,22.83,,16/8/14
22.66,22.79,,16/8/15
22.63,22.76,,16/8/16
22.62,22.85,,16/8/17
22.6,22.81,,16/8/18
22.67,22.76,,16/8/19
22.66,22.75,,16/8/20
22.66,22.7,,16/8/21
22.66,22.66,,16/8/22
22.66,22.62,,16/8/23
22.66,22.6,,16/8/24
22.65,22.65,,16/8/25
22.64,22.75,,16/8/26
22.63,22.83,,16/8/27
22.63,22.88,,16/8/28
22.62,22.98,,16/8/29
22.61,23.04,,16/8/30
22.68,23.07,,16/8/31
22.68,23.14,,16/9/1
22.66,23.19,,16/9/2
22.65,23.23,,16/9/3
22.69,23.26,,16/9/4
22.68,23.27,,16/9/5
22.65,23.25,,16/9/6
22.63,23.22,,16/9/7
22.61,23.17,,16/9/8
22.6,23.15,,16/9/9
22.63,23.13,,16/9/10
22.69,23.1,,16/9/11
22.74,23.08,,16/9/12
22.82,23.06,,16/9/13
22.88,23.04,,16/9/14
23.08,23.03,,16/9/15
23.17,23.07,,16/9/16
23.27,23.11,,16/9/17
23.35,,,16/9/18
23.41,23.19,,16/9/19
23.47,23.44,,16/9/20
23.53,23.57,,16/9/21
23.58,23.69,,16/9/22
23.61,23.79,,16/9/23
23.63,23.88,,16/9/24
23.66,23.98,,16/9/25
23.7,24.08,,16/9/26
23.72,24.17,,16/9/27
23.76,24.25,,16/9/28
23.79,24.33,,16/9/29
23.83,24.4,,16/9/30
23.88,24.46,,16/10/1
23.94,24.53,,16/10/2
23.99,24.84,,16/10/3
24.04,24.91,,16/10/4
24.09,24.98,,16/10/5
24.14,25.01,,16/10/6
24.18,24.97,,16/10/7
24.23,24.93,,16/10/8
24.27,24.88,,16/10/9
24.29,24.85,,16/10/10
24.3,24.87,,16/10/11
24.26,24.89,,16/10/12
24.21,24.91,,16/10/13
24.13,24.87,,16/10/14
24.06,24.75,,16/10/15
23.98,24.64,,16/10/16
23.91,24.59,,16/10/17
23.84,,,16/10/18
23.81,,,16/10/19
23.7,,,16/10/20
23.59,,,16/10/21
23.48,24.2,,16/10/22
23.37,24.1,,16/10/23
23.23,23.99,,16/10/24
23.08,23.89,,16/10/25
22.95,23.82,,16/10/26
22.84,23.75,,16/10/27
22.74,23.65,,16/10/28
22.63,23.52,,16/10/29
22.51,23.4,,16/10/30
22.41,23.28,,16/10/31
22.29,23.14,,16/11/1
22.17,23.06,,16/11/2
22.03,23.06,,16/11/3
21.87,22.66,,16/11/4
21.71,22.6,,16/11/5
21.55,22.54,,16/11/6
21.41,22.49,,16/11/7
21.24,22.41,,16/11/8
21.14,22.29,,16/11/9
21.24,22.21,,16/11/10
21.33,22.26,,16/11/11
21.42,22.31,,16/11/12
21.52,22.36,,16/11/13
21.61,22.4,,16/11/14
