2014,2015,2016,dates
23.37,21.95,21.94,1-1
23.36,21.93,21.94,1-2
23.35,21.91,21.96,1-3
23.32,21.89,21.96,1-4
23.3,21.87,21.99,1-5
23.28,21.91,21.99,1-6
23.27,21.94,21.99,1-7
23.26,21.97,,1-8
23.25,22,,1-9
23.23,22.03,,1-10
23.2,22.07,,1-11
23.17,22.15,,1-12
23.16,22.26,,1-13
23.12,22.32,,1-14
23.12,22.38,,1-15
23.1,22.44,,1-16
23.08,22.51,,1-17
23.06,22.58,,1-18
23.05,22.66,,1-19
23.04,22.74,,1-20
23.01,22.82,,1-21
23,22.86,,1-22
22.99,22.85,,1-23
23,22.85,,1-24
23.01,22.84,,1-25
23.03,22.84,,1-26
23.05,22.82,,1-27
23.15,22.82,,1-28
23.2,22.82,,1-29
23.24,22.82,,1-30
23.34,22.82,,1-31
23.36,22.82,,2-1
23.37,22.83,,2-2
23.38,22.84,,2-3
23.39,22.85,,2-4
23.38,22.86,,2-5
23.36,22.89,,2-6
23.36,22.94,,2-7
23.34,22.98,,2-8
23.35,23.02,,2-9
23.36,23.06,,2-10
23.35,23.09,,2-11
23.33,23.12,,2-12
23.32,23.18,,2-13
23.31,23.25,,2-14
23.3,23.31,,2-15
23.28,23.34,,2-16
23.24,23.36,,2-17
23.21,23.35,,2-18
23.22,23.38,,2-19
23.14,23.41,,2-20
23.14,23.44,,2-21
22.95,23.44,,2-22
22.85,23.37,,2-23
22.76,23.27,,2-24
22.66,23.16,,2-25
22.56,23.05,,2-26
22.51,22.92,,2-27
22.5,22.77,,2-28
22.5,22.58,,3-1
22.49,22.48,,3-2
22.46,22.52,,3-3
22.41,22.5,,3-4
22.35,22.49,,3-5
22.29,22.48,,3-6
22.23,22.44,,3-7
22.12,22.4,,3-8
22.02,22.36,,3-9
21.94,22.32,,3-10
21.92,22.28,,3-11
21.92,22.24,,3-12
21.92,22.19,,3-13
21.89,22.15,,3-14
21.88,22.1,,3-15
21.86,22.04,,3-16
21.84,21.98,,3-17
21.82,21.94,,3-18
21.81,21.89,,3-19
21.81,21.89,,3-20
21.86,21.87,,3-21
21.89,21.86,,3-22
21.93,21.85,,3-23
21.96,21.83,,3-24
22.01,21.81,,3-25
22.05,21.8,,3-26
22.1,21.79,,3-27
22.14,21.77,,3-28
22.2,21.76,,3-29
22.51,21.74,,3-30
23.32,21.72,,3-31
23.44,21.7,,4-1
23.61,21.69,,4-2
23.88,21.67,,4-3
23.98,21.67,,4-4
24.01,21.67,,4-5
24.05,21.67,,4-6
24.06,21.67,,4-7
24.09,21.68,,4-8
24.05,21.69,,4-9
24.05,21.73,,4-10
23.97,21.83,,4-11
23.88,21.89,,4-12
23.79,21.92,,4-13
23.7,21.92,,4-14
23.61,21.93,,4-15
23.52,21.93,,4-16
23.35,21.94,,4-17
23.17,21.96,,4-18
23.03,21.97,,4-19
22.89,21.99,,4-20
22.74,22.02,,4-21
22.58,22.03,,4-22
22.42,22.06,,4-23
22.26,22.08,,4-24
22.11,22.11,,4-25
22.01,22.13,,4-26
21.93,22.16,,4-27
21.86,22.18,,4-28
21.85,22.21,,4-29
21.88,22.24,,4-30
21.99,22.26,,5-1
22.09,22.29,,5-2
22.18,22.31,,5-3
22.27,22.33,,5-4
22.47,22.34,,5-5
22.54,22.32,,5-6
22.72,22.29,,5-7
23.27,22.25,,5-8
23.28,22.31,,5-9
23.41,22.28,,5-10
24.44,22.48,,5-11
24.66,22.51,,5-12
24.68,22.48,,5-13
24.6,22.44,,5-14
24.51,22.39,,5-15
24.41,22.39,,5-16
24.36,22.38,,5-17
24.3,22.36,,5-18
24.33,22.33,,5-19
24.85,22.3,,5-20
24.93,22.29,,5-21
24.93,22.25,,5-22
24.93,22.55,,5-23
24.86,22.55,,5-24
24.79,22.58,,5-25
24.7,22.57,,5-26
24.62,22.6,,5-27
24.53,22.57,,5-28
24.43,22.54,,5-29
24.35,22.51,,5-30
24.26,22.5,,5-31
24.17,22.49,,6-1
24.08,22.48,,6-2
24,22.45,,6-3
23.94,22.4,,6-4
23.86,22.35,,6-5
23.85,22.33,,6-6
23.79,22.28,,6-7
23.72,22.23,,6-8
23.65,22.17,,6-9
23.58,22.14,,6-10
23.49,22.09,,6-11
23.41,22.03,,6-12
23.43,22.1,,6-13
23.44,22.04,,6-14
23.44,21.98,,6-15
23.4,21.94,,6-16
23.29,21.92,,6-17
23.18,21.92,,6-18
23.06,21.92,,6-19
22.95,21.92,,6-20
22.85,21.93,,6-21
22.8,21.94,,6-22
22.69,22,,6-23
22.64,22.03,,6-24
22.56,22.09,,6-25
22.45,22.13,,6-26
22.35,22.09,,6-27
22.23,22.08,,6-28
22.1,22.12,,6-29
21.97,22.14,,6-30
21.86,22.15,,7-1
21.72,22.17,,7-2
21.58,22.17,,7-3
21.48,22.16,,7-4
21.44,22.16,,7-5
21.42,22.16,,7-6
21.43,22.14,,7-7
21.42,22.13,,7-8
21.4,22.13,,7-9
21.39,22.15,,7-10
21.4,22.17,,7-11
21.42,22.18,,7-12
21.43,22.19,,7-13
21.44,22.19,,7-14
21.47,22.21,,7-15
21.49,22.21,,7-16
21.51,22.27,,7-17
21.62,22.27,,7-18
21.67,22.29,,7-19
21.71,22.31,,7-20
21.75,22.47,,7-21
21.78,22.49,,7-22
21.81,22.6,,7-23
21.86,22.9,,7-24
21.94,23,,7-25
21.96,23.12,,7-26
21.99,23.23,,7-27
22,23.27,,7-28
22.01,23.3,,7-29
22.02,23.3,,7-30
22.02,23.3,,7-31
22.02,23.3,,8-1
22.05,23.3,,8-2
22.08,23.3,,8-3
22.2,23.28,,8-4
22.22,23.24,,8-5
22.35,23.19,,8-6
22.38,23.08,,8-7
22.38,23.09,,8-8
22.39,23.05,,8-9
22.39,23.01,,8-10
22.39,22.97,,8-11
22.38,22.92,,8-12
22.61,22.91,,8-13
22.66,22.86,,8-14
22.67,22.83,,8-15
22.66,22.79,,8-16
22.63,22.76,,8-17
22.62,22.85,,8-18
22.6,22.81,,8-19
22.67,22.76,,8-20
22.66,22.75,,8-21
22.66,22.7,,8-22
22.66,22.66,,8-23
22.66,22.62,,8-24
22.66,22.6,,8-25
22.65,22.65,,8-26
22.64,22.75,,8-27
22.63,22.83,,8-28
22.63,22.88,,8-29
