yuce,shiji,dates
3496.143,0,2016/1/8 20:00:00
3496.143,0,2016/1/8 19:00:00
3496.143,0,2016/1/8 18:00:00
3496.143,0,2016/1/8 17:00:00
3495.484,3498,2016/1/8 16:00:00
3496.143,3498,2016/1/8 15:00:00
3496.143,3498,2016/1/8 14:00:00
3495.484,3498,2016/1/8 13:00:00
3495.484,3498,2016/1/8 12:00:00
3496.143,3498,2016/1/8 11:00:00
3495.484,3498,2016/1/8 10:00:00
3495.484,3498,2016/1/8 9:00:00
3495.484,3498,2016/1/8 8:00:00
3495.484,3498,2016/1/8 7:00:00
3496.143,3498,2016/1/8 6:00:00
3496.143,3498,2016/1/8 5:00:00
3496.143,3498,2016/1/8 4:00:00
3496.143,3498,2016/1/8 3:00:00
3489.568,3498,2016/1/8 2:00:00
3489.568,3498,2016/1/8 1:00:00
3489.568,3498,2016/1/8 0:00:00
3489.568,3498,2016/1/7 23:00:00
3489.568,3498,2016/1/7 22:00:00
3496.143,0,2016/1/7 21:00:00
