2014,2015,2016,dates
4466,3465,3458,1-1
4456,3452,3458,1-2
4448,3438,3471,1-3
4426,3425,3471,1-4
4411,3412,3491,1-5
4396,3438,3491,1-6
4389,3458,3491,1-7
4385,3478,,1-8
4376,3498,,1-9
4353,3517,,1-10
4337,3544,,1-11
4315,3597,,1-12
4308,3671,,1-13
4293,3712,,1-14
4278,3753,,1-15
4263,3794,,1-16
4249,3843,,1-17
4238,3892,,1-18
4227,3948,,1-19
4220,4004,,1-20
4198,4061,,1-21
4191,4090,,1-22
4184,4082,,1-23
4192,4082,,1-24
4193,4075,,1-25
4213,4075,,1-26
4227,4061,,1-27
4305,4061,,1-28
4350,4061,,1-29
4367,4061,,1-30
4441,4061,,1-31
4460,4061,,2-1
4469,4068,,2-2
4470,4075,,2-3
4478,4082,,2-4
4471,4090,,2-5
4456,4111,,2-6
4456,4147,,2-7
4441,4176,,2-8
4450,4205,,2-9
4456,4234,,2-10
4446,4256,,2-11
4426,4278,,2-12
4416,4322,,2-13
4410,4374,,2-14
4406,4418,,2-15
4396,4441,,2-16
4367,4456,,2-17
4345,4448,,2-18
4352,4471,,2-19
4293,4494,,2-20
4293,4516,,2-21
4154,4516,,2-22
4082,4463,,2-23
4018,4389,,2-24
3948,4308,,2-25
3878,4227,,2-26
3843,4133,,2-27
3836,4025,,2-28
3836,3892,,3-1
3829,3822,,3-2
3808,3850,,3-3
3774,3842,,3-4
3733,3832,,3-5
3692,3822,,3-6
3651,3794,,3-7
3577,3767,,3-8
3511,3739,,3-9
3458,3712,,3-10
3445,3685,,3-11
3445,3658,,3-12
3445,3624,,3-13
3425,3597,,3-14
3419,3564,,3-15
3406,3512,,3-16
3393,3485,,3-17
3380,3458,,3-18
3374,3425,,3-19
3374,3425,,3-20
3406,3412,,3-21
3425,3406,,3-22
3452,3400,,3-23
3471,3387,,3-24
3504,3374,,3-25
3531,3367,,3-26
3564,3361,,3-27
3591,3348,,3-28
3631,3342,,3-29
3843,3329,,3-30
4426,3316,,3-31
4516,3303,,4-1
4645,3296,,4-2
4855,3284,,4-3
4935,3284,,4-4
4959,3284,,4-5
4991,3284,,4-6
4999,3284,,4-7
5023,3290,,4-8
4999,3296,,4-9
4991,3322,,4-10
4927,3387,,4-11
4855,3425,,4-12
4785,3445,,4-13
4714,3445,,4-14
4645,3452,,4-15
4576,3452,,4-16
4448,3458,,4-17
4315,3471,,4-18
4213,3478,,4-19
4111,3491,,4-20
4004,3511,,4-21
3892,3517,,4-22
3781,3537,,4-23
3671,3550,,4-24
3570,3570,,4-25
3504,3584,,4-26
3452,3604,,4-27
3406,3617,,4-28
3400,3638,,4-29
3419,3658,,4-30
3491,3671,,5-1
3557,3692,,5-2
3617,3705,,5-3
3678,3719,,5-4
3815,3726,,5-5
3864,3712,,5-6
